#优化拉丁超立方抽样第2、3维数据(强度2,差异度3.845e-05)
#      密度[kg/m^3]                弹性模量[GPa]                转速[r/min]         
6.628634036266965268e+03 1.739480626046965028e+02 1.509417686930711170e+04
6.801686667845912780e+03 1.603262960722915409e+02 1.548575581667553161e+04
7.016757621529101925e+03 2.015050933608656578e+02 1.587733476404395333e+04
8.109033831616524367e+03 1.588362523230148042e+02 1.626891371141237323e+04
7.362862884686996949e+03 1.594170357658856290e+02 1.666049265878079677e+04
7.535915516265944461e+03 1.682101038871814467e+02 1.705207160614921668e+04
7.708968147844891064e+03 1.592312891566078576e+02 1.744365055351763658e+04
7.313121132709249650e+03 1.610036529483234347e+02 1.783522950088606012e+04
7.800245356502924551e+03 1.588058839397746738e+02 1.822680844825448003e+04
9.570528773109070244e+03 1.599825031374516868e+02 1.861838739562289993e+04
8.401178674160681112e+03 1.581649996823445576e+02 1.900996634299131983e+04
9.345415902433827796e+03 1.612793628156658485e+02 1.940154529035974338e+04
8.747283937318576136e+03 1.802264041869382822e+02 1.979312423772816328e+04
9.136419796432383009e+03 1.609481070091133290e+02 2.018470318509658318e+04
7.108034830187134503e+03 1.584608871645052091e+02 2.057628213246500673e+04
9.545116797679824231e+03 1.614624415520649450e+02 2.096786107983342663e+04
9.439494463634364365e+03 1.842025312618710018e+02 2.135944002720184653e+04
9.546379529092466328e+03 1.595529357767905481e+02 2.175101897457027007e+04
8.013055088898543545e+03 1.617253011757609329e+02 2.214259792193868998e+04
6.994253873268778079e+03 1.645894398732671675e+02 1.547622759724081152e+04
8.436596771630584044e+03 1.647903693215347118e+02 1.586780654460923142e+04
7.012546763262789682e+03 1.754837470598569098e+02 1.625938549197765315e+04
6.865349317863523538e+03 1.629981260072253235e+02 1.665096443934607305e+04
8.425132627902028617e+03 1.959177503223999395e+02 1.704254338671449659e+04
7.531704657999631308e+03 1.621315372423441659e+02 1.743412233408291650e+04
8.018705874170553216e+03 1.633931628408183769e+02 1.782570128145133640e+04
9.288086159968786887e+03 1.651655266325339539e+02 1.821728022881975630e+04
8.359160352056438569e+03 1.683062505058727254e+02 1.860885917618817984e+04
8.223915184315421357e+03 1.770750609258987254e+02 1.900043812355659975e+04
7.659226395867143765e+03 1.623268733665551053e+02 1.939201707092502329e+04
8.570020447473316381e+03 1.662934109265546851e+02 1.978359601829344319e+04
8.743073079052262983e+03 1.629677576239851930e+02 2.017517496566186310e+04
8.916125710631211405e+03 2.019450329143967906e+02 2.056675391303028300e+04
7.087609525570416736e+03 1.606284956373241926e+02 2.095833286039870654e+04
6.934982198608186991e+03 1.656243152362754643e+02 2.134991180776712645e+04
9.435283605368053031e+03 1.719026568185172152e+02 2.174149075513554635e+04
8.508063739618783075e+03 1.637148094610010673e+02 2.213306970250396989e+04
9.781388868525948055e+03 2.250508661118736313e+02 1.508464864987238980e+04
6.576573797170669422e+03 2.216593944197657606e+02 1.592631098049026150e+04
7.185599394841737194e+03 1.686500434407126079e+02 1.631788992785868322e+04
7.038401949442471050e+03 2.254262312703832265e+02 1.670946887522710313e+04
7.211454581021418562e+03 1.796152523608272986e+02 1.710104782259552667e+04
7.903665107337207701e+03 1.677407831343066960e+02 1.749262676996394657e+04
9.158395666525128036e+03 1.598863565187603797e+02 1.788420571733236648e+04
7.730612475758260189e+03 1.891156189269253787e+02 1.827578466470079002e+04
7.326495347854764077e+03 2.050118996829236551e+02 1.866736361206920992e+04
8.076717738916155213e+03 1.704552846107652329e+02 1.905894255943762982e+04
8.249770370495101815e+03 1.644881697565020602e+02 1.945052150680605337e+04
8.422823002074050237e+03 2.218451410290435319e+02 1.984210045417447327e+04
9.719432160671414749e+03 1.689522430057452311e+02 2.023367940154289317e+04
8.705265615214333593e+03 1.671296313081957408e+02 2.062525834891131672e+04
8.826258007696984350e+03 1.737649838682974348e+02 2.101683729627973662e+04
9.115033528389838466e+03 1.987362259735605790e+02 2.140841624364815652e+04
7.690462220432679715e+03 1.697861889204859835e+02 2.179999519101657643e+04
9.793954466129092907e+03 1.696031101840868871e+02 2.219157413838499997e+04
